dataset,fold,test_accuracy
sft,0,0.5912897822445561
sft,1,0.5967336683417085
sft,2,0.5992462311557789
sft,3,0.5820770519262981
sft,4,0.6105527638190955
dpo,0,0.42085427135678394
dpo,1,0.4350921273031826
dpo,2,0.4556113902847571
dpo,3,0.4007537688442211
dpo,4,0.4426298157453936
baseline,0,0.5297319932998324
baseline,1,0.568676716917923
baseline,2,0.5477386934673367
baseline,3,0.5833333333333334
baseline,4,0.5682579564489112
real train data,0,0.7638190954773869
real train data,1,0.7654941373534339
real train data,2,0.7675879396984925
real train data,3,0.7608877721943048
real train data,4,0.7629815745393634
